test_image_id,train_image_id,pair_body,predicted_body,test_timestamp_utc,train_timestamp_utc,time_delta_s,predicted_range_km,true_range_test_km,true_range_train_km,relative_error_vs_train,result
co-iss-n1308947440,co-iss-n1349093639,venus,,1999-06-24T20:24:23.606,2000-10-01T12:03:11.588,40145927.982,,,,,SKIP_REFUSED
co-iss-n1313633721,co-iss-n1308947314,moon,,1999-08-18T02:08:33.851,1999-06-24T20:22:17.595,4686376.256,,,,,SKIP_REFUSED
co-iss-n1313633738,co-iss-n1349093639,moon,,1999-08-18T02:08:50.854,2000-10-01T12:03:11.588,35459660.734,,,,,SKIP_REFUSED
co-iss-n1313633756,co-iss-n1308947273,moon,,1999-08-18T02:09:08.858,1999-06-24T20:21:36.626,4686452.232,,,,,SKIP_REFUSED
co-iss-n1313633773,co-iss-n1355863398,moon,,1999-08-18T02:09:25.858,2000-12-18T20:31:47.537,42229341.679,,,,,SKIP_REFUSED
co-iss-n1349081639,co-iss-n1349093639,jupiter,jupiter,2000-10-01T08:43:11.699,2000-10-01T12:03:11.588,11999.889,126182413.971555,84380496.575,84252427.100,0.497671,FAIL_RANGE
co-iss-w1349081639,co-iss-w1349087639,jupiter,,2000-10-01T08:43:15.232,2000-10-01T10:23:15.170,5999.938,,,,,SKIP_REFUSED
co-iss-n1349081680,co-iss-n1349099680,jupiter,jupiter,2000-10-01T08:43:53.303,2000-10-01T13:43:53.153,17999.85,128262344.294382,84380052.542,84187951.291,0.523524,FAIL_RANGE
co-iss-w1349081680,co-iss-w1349093680,jupiter,,2000-10-01T08:43:56.494,2000-10-01T12:03:56.390,11999.896,,,,,SKIP_REFUSED
co-iss-n1349081709,co-iss-n1349153470,jupiter,jupiter,2000-10-01T08:44:24.307,2000-10-02T04:40:24.798,71760.491,64131153.094257,84379721.641,83614011.688,0.233009,PASS
co-iss-n1349081745,co-iss-n1349087745,jupiter,jupiter,2000-10-01T08:45:00.010,2000-10-01T10:24:59.945,5999.935,64307823.077266,84379340.589,84315305.057,0.237294,PASS
co-iss-w1349081745,co-iss-n1349111860,jupiter,,2000-10-01T08:45:01.466,2000-10-01T17:06:56.200,30114.734,,,,,SKIP_REFUSED
co-iss-n1349081790,co-iss-n1349093790,jupiter,jupiter,2000-10-01T08:45:45.698,2000-10-01T12:05:45.586,11999.888,64664099.385332,84378852.968,84250783.599,0.232481,PASS
co-iss-n1349081823,co-iss-n1349087823,jupiter,jupiter,2000-10-01T08:46:19.262,2000-10-01T10:26:19.196,5999.934,64307823.077266,84378494.745,84314459.246,0.237286,PASS
