test_image_id,train_image_id,test_timestamp_utc,train_timestamp_utc,time_delta_s,body,filter
co-iss-n1308947440,co-iss-n1349093639,1999-06-24T20:24:23.606,2000-10-01T12:03:11.588,40145927.982,venus,UV1
co-iss-n1313633721,co-iss-n1308947314,1999-08-18T02:08:33.851,1999-06-24T20:22:17.595,4686376.256,moon,UV2
co-iss-n1313633738,co-iss-n1349093639,1999-08-18T02:08:50.854,2000-10-01T12:03:11.588,35459660.734,moon,UV1
co-iss-n1313633756,co-iss-n1308947273,1999-08-18T02:09:08.858,1999-06-24T20:21:36.626,4686452.232,moon,GRN
co-iss-n1313633773,co-iss-n1355863398,1999-08-18T02:09:25.858,2000-12-18T20:31:47.537,42229341.679,moon,IR1
co-iss-n1349081639,co-iss-n1349093639,2000-10-01T08:43:11.699,2000-10-01T12:03:11.588,11999.889,jupiter,UV1
co-iss-w1349081639,co-iss-w1349087639,2000-10-01T08:43:15.232,2000-10-01T10:23:15.170,5999.938,jupiter,VIO
co-iss-n1349081680,co-iss-n1349099680,2000-10-01T08:43:53.303,2000-10-01T13:43:53.153,17999.85,jupiter,MT3
co-iss-w1349081680,co-iss-w1349093680,2000-10-01T08:43:56.494,2000-10-01T12:03:56.390,11999.896,jupiter,RED
co-iss-n1349081709,co-iss-n1349153470,2000-10-01T08:44:24.307,2000-10-02T04:40:24.798,71760.491,jupiter,CB3
co-iss-n1349081745,co-iss-n1349087745,2000-10-01T08:45:00.010,2000-10-01T10:24:59.945,5999.935,jupiter,MT2
co-iss-w1349081745,co-iss-n1349111860,2000-10-01T08:45:01.466,2000-10-01T17:06:56.200,30114.734,jupiter,GRN
co-iss-n1349081790,co-iss-n1349093790,2000-10-01T08:45:45.698,2000-10-01T12:05:45.586,11999.888,jupiter,CB2
co-iss-n1349081823,co-iss-n1349087823,2000-10-01T08:46:19.262,2000-10-01T10:26:19.196,5999.934,jupiter,BL1
co-iss-n1349081860,co-iss-n1349111860,2000-10-01T08:46:56.410,2000-10-01T17:06:56.200,29999.79,jupiter,GRN
co-iss-n1349081893,co-iss-n1349093893,2000-10-01T08:47:28.278,2000-10-01T12:07:28.194,11999.916,jupiter,MT1
co-iss-n1349099823,co-iss-n1349087823,2000-10-01T13:46:19.112,2000-10-01T10:26:19.196,11999.916,jupiter,BL1
co-iss-n1349105639,co-iss-n1349093639,2000-10-01T15:23:11.503,2000-10-01T12:03:11.588,11999.915,jupiter,UV1
