image_id,mission,instrument,body,filter,exposure_s,timestamp_utc,target_body_from_metadata,source_url,sha256,local_path,instrument_verified,state_verified
co-iss-n1373701555,cassini,issna,saturn,MT1,10,2001-07-13T07:32:10.375,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373701555_1_full.png,ebf1ebb8d6da2685f271896d9ba00d01982121b1f7da737e529d042a2f782fa4,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373701555.png,true,true
co-iss-n1373701676,cassini,issna,saturn,MT2,8.2,2001-07-13T07:34:13.190,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373701676_1_full.png,2e4d5c9b87850af5502a2d667367e70948fcd241aca12c7e20d64d0760df2c63,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373701676.png,true,true
co-iss-n1373701860,cassini,issna,saturn,MT3,8.2,2001-07-13T07:37:17.208,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373701860_2_full.png,25d35b6366f274d7076fe415c1224f4d6818634c1fe33c27ce94bea79b4a819b,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373701860.png,true,true
co-iss-n1373702060,cassini,issna,saturn,CB3,22,2001-07-13T07:40:23.423,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373702060_1_full.png,a15b5af2865ee18fc74be3f94ff1ab72e749e0a78cbb942e5a8cfb09a3ac2f2b,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373702060.png,true,true
co-iss-n1373702208,cassini,issna,saturn,IR2+IR3,5.6,2001-07-13T07:43:07.763,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373702208_1_full.png,675bd15e84ae8450973b47a0589032c240999c64eedcdbd35a90c32fb185135c,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373702208.png,true,true
co-iss-n1373702392,cassini,issna,saturn,IR4,26,2001-07-13T07:45:51.377,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373702392_1_full.png,607f7e26ca4bb90bbb180a6f4169e282093acb08d9bc13723a2ef67087093a0e,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373702392.png,true,true
co-iss-n1373702656,cassini,issna,saturn,UV2,22,2001-07-13T07:50:19.395,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373702656_1_full.png,70010103e1d0a599a23214645616b2c17d4309ec20075ce34af8bb551a5535f1,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373702656.png,true,true
co-iss-n1373702809,cassini,issna,saturn,BL1,1.5,2001-07-13T07:53:12.906,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373702809_1_full.png,36c8ff5c48e70502f4a9aa19e26e855a2af8c3f67f8149b29ad9ca0d066292c0,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373702809.png,true,true
co-iss-n1373703059,cassini,issna,saturn,UV3+P120,22,2001-07-13T07:57:02.361,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373703059_1_full.png,fe4c2a1010c95feddcbffcc440a959dd614320be154d799ed5fc15f3dda4a8b3,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373703059.png,true,true
co-iss-n1373703203,cassini,issna,saturn,BL2+P120,12,2001-07-13T07:59:36.376,Saturn,https://opus.pds-rings.seti.org/holdings/previews/COISS_1xxx/COISS_1007/data/1373522904_1373866521/N1373703203_1_full.png,49f1b916b3c6df04cf590c849f0ce5aa4ad042db0b6660485e406567b0bab883,/Users/upadhyay/dev/ICES/object_detection_opencv_cpp/data/cassini/issna/saturn/images/co-iss-n1373703203.png,true,true
