image_id,status,body,target_meta,timestamp_utc,predicted_range_km,true_range_km,relative_range_error,angular_center_error_arcsec,note
co-iss-n1308947440,REFUSED,,Venus,1999-06-24T20:24:23.606,,,,,
co-iss-n1313633721,REFUSED,,Moon,1999-08-18T02:08:33.851,,,,,
co-iss-n1313633738,REFUSED,,Moon,1999-08-18T02:08:50.854,,,,,
co-iss-n1313633756,REFUSED,,Moon,1999-08-18T02:09:08.858,,,,,
co-iss-n1313633773,REFUSED,,Moon,1999-08-18T02:09:25.858,,,,,
co-iss-n1349081639,NOMINAL,jupiter,Jupiter,2000-10-01T08:43:11.699,126182413.971555,84380496.575,0.495398,25.423024,
co-iss-n1349081680,NOMINAL,jupiter,Jupiter,2000-10-01T08:43:53.303,128262344.294382,84380052.542,0.520055,23.980047,
co-iss-n1349081709,NOMINAL,jupiter,Jupiter,2000-10-01T08:44:24.307,64131153.094257,84379721.641,0.239970,15.082183,
co-iss-n1349081745,NOMINAL,jupiter,Jupiter,2000-10-01T08:45:00.010,64307823.077266,84379340.589,0.237872,17.703595,
co-iss-n1349081790,NOMINAL,jupiter,Jupiter,2000-10-01T08:45:45.698,64664099.385332,84378852.968,0.233646,15.672668,
co-iss-n1349081823,NOMINAL,jupiter,Jupiter,2000-10-01T08:46:19.262,64307823.077266,84378494.745,0.237865,15.485971,
co-iss-n1349081860,NOMINAL,jupiter,Jupiter,2000-10-01T08:46:56.410,64664099.385332,84378098.270,0.233639,17.113619,
co-iss-n1349081893,NOMINAL,jupiter,Jupiter,2000-10-01T08:47:28.278,64485469.137144,84377758.148,0.235753,16.601082,
co-iss-n1349099823,NOMINAL,jupiter,Jupiter,2000-10-01T13:46:19.112,64307823.077266,84186393.641,0.236126,15.971565,
co-iss-n1349105639,NOMINAL,jupiter,Jupiter,2000-10-01T15:23:11.503,126182413.971555,84124366.000,0.499951,27.116470,
co-iss-n1349153551,NOMINAL,jupiter,Jupiter,2000-10-02T04:41:46.186,63780709.356325,83613143.480,0.237193,8.519387,
co-iss-n1349159441,NOMINAL,jupiter,Jupiter,2000-10-02T06:19:53.733,126868188.100492,83550339.106,0.518464,42.113393,
co-iss-n1355377888,NOMINAL,europa,Europa,2000-12-13T05:40:00.978,15328280.156863,19626913.409,0.219017,5.811269,
co-iss-n1355377921,NOMINAL,europa,Europa,2000-12-13T05:40:33.986,15792773.494949,19626484.140,0.195334,0.297650,
co-iss-n1355377954,NOMINAL,europa,Europa,2000-12-13T05:41:06.990,14476709.037037,19626054.651,0.262373,5.425662,
co-iss-n1355377994,NOMINAL,europa,Europa,2000-12-13T05:41:42.398,15328280.156863,19625593.577,0.218965,5.191091,
co-iss-n1355702131,DEGRADED,saturn,Io,2000-12-16T23:43:59.773,19062737.777205,,,,spice_fail:SpiceSPKINSUFFDATA
co-iss-n1355702179,REFUSED,,Io,2000-12-16T23:44:37.777,,,,,
co-iss-n1355702203,REFUSED,,Io,2000-12-16T23:45:09.184,,,,,
co-iss-n1355702251,DEGRADED,titan,Io,2000-12-16T23:45:49.788,2597611.43514,,,,spice_fail:SpiceSPKINSUFFDATA
co-iss-n1355863544,REFUSED,,Himalia,2000-12-18T20:34:10.455,,,,,
co-iss-n1356764729,NOMINAL,ganymede,Ganymede,2000-12-29T06:53:52.456,8220033.183801,10915014.968,0.246906,11.937198,
co-iss-n1356766598,NOMINAL,callisto,Callisto,2000-12-29T07:24:59.602,6287619.052083,8566388.389,0.266013,7.729668,
co-iss-n1356766631,NOMINAL,callisto,Callisto,2000-12-29T07:25:34.375,6337127.863517,8566511.968,0.260244,6.025965,
co-iss-n1356766664,NOMINAL,callisto,Callisto,2000-12-29T07:26:06.853,6387422.529101,8566627.419,0.254383,2.594855,
co-iss-n1356766697,NOMINAL,callisto,Callisto,2000-12-29T07:26:38.417,6337127.863517,8566739.647,0.260264,10.068677,
co-iss-n1357344485,REFUSED,,Jupiter,2001-01-04T23:56:23.885,,,,,
co-iss-n1357351283,REFUSED,,Jupiter,2001-01-05T01:49:40.798,,,,,
co-iss-n1357352003,REFUSED,,Jupiter,2001-01-05T02:01:10.293,,,,,
