image_id,body,timestamp_utc,split
co-iss-w1308947228,venus,1999-06-24T20:20:51.615,train
co-iss-n1308947228,venus,1999-06-24T20:20:51.623,train
co-iss-n1308947273,venus,1999-06-24T20:21:36.626,train
co-iss-n1308947314,venus,1999-06-24T20:22:17.595,train
co-iss-n1313633890,moon,1999-08-18T02:11:22.869,train
co-iss-w1349087639,jupiter,2000-10-01T10:23:15.170,train
co-iss-n1349087745,jupiter,2000-10-01T10:24:59.945,train
co-iss-n1349087823,jupiter,2000-10-01T10:26:19.196,train
co-iss-n1349093639,jupiter,2000-10-01T12:03:11.588,train
co-iss-w1349093680,jupiter,2000-10-01T12:03:56.390,train
co-iss-n1349093790,jupiter,2000-10-01T12:05:45.586,train
co-iss-n1349093893,jupiter,2000-10-01T12:07:28.194,train
co-iss-n1349099680,jupiter,2000-10-01T13:43:53.153,train
co-iss-n1349099745,jupiter,2000-10-01T13:44:59.860,train
co-iss-n1349105790,jupiter,2000-10-01T15:25:45.502,train
co-iss-n1349105893,jupiter,2000-10-01T15:27:28.109,train
co-iss-n1349111680,jupiter,2000-10-01T17:03:53.069,train
co-iss-n1349111745,jupiter,2000-10-01T17:04:59.776,train
co-iss-n1349111860,jupiter,2000-10-01T17:06:56.200,train
co-iss-n1349153400,jupiter,2000-10-02T04:39:12.187,train
co-iss-n1349153470,jupiter,2000-10-02T04:40:24.798,train
co-iss-n1349153654,jupiter,2000-10-02T04:43:28.774,train
co-iss-n1349159506,jupiter,2000-10-02T06:21:00.440,train
co-iss-n1349159621,jupiter,2000-10-02T06:22:56.864,train
co-iss-n1349165400,jupiter,2000-10-02T07:59:12.083,train
co-iss-n1355379238,europa,2000-12-13T06:02:30.950,train
co-iss-n1355702341,io,2000-12-16T23:47:29.338,train
co-iss-n1355702585,io,2000-12-16T23:51:23.754,train
co-iss-n1355863292,himalia,2000-12-18T20:30:01.162,train
co-iss-n1355863332,himalia,2000-12-18T20:30:37.830,train
co-iss-n1355863365,himalia,2000-12-18T20:31:13.633,train
co-iss-n1355863398,himalia,2000-12-18T20:31:47.537,train
co-iss-n1356764498,ganymede,2000-12-29T06:50:00.787,train
co-iss-n1356764531,ganymede,2000-12-29T06:50:34.457,train
co-iss-n1356764564,ganymede,2000-12-29T06:51:07.207,train
co-iss-n1356764597,ganymede,2000-12-29T06:51:39.786,train
co-iss-n1356766829,callisto,2000-12-29T07:28:52.405,train
co-iss-n1357343216,jupiter,2001-01-04T23:35:14.894,train
co-iss-n1357343818,jupiter,2001-01-04T23:45:16.482,train
co-iss-n1357344192,jupiter,2001-01-04T23:51:30.452,train
co-iss-n1357344889,jupiter,2001-01-05T00:02:36.342,train
co-iss-w1357345279,jupiter,2001-01-05T00:09:38.220,train
co-iss-n1357346428,jupiter,2001-01-05T00:28:46.872,train
co-iss-n1357347084,jupiter,2001-01-05T00:39:42.867,train
co-iss-n1357347688,jupiter,2001-01-05T00:49:46.863,train
co-iss-w1357348716,jupiter,2001-01-05T01:06:55.136,train
co-iss-w1357349336,jupiter,2001-01-05T01:17:15.302,train
co-iss-n1357350509,jupiter,2001-01-05T01:36:47.951,train
co-iss-n1357350619,jupiter,2001-01-05T01:38:35.111,train
co-iss-n1357350993,jupiter,2001-01-05T01:44:49.108,train
co-iss-w1357352363,jupiter,2001-01-05T02:07:42.286,train
co-iss-n1373701555,saturn,2001-07-13T07:32:10.375,train
co-iss-n1373701588,saturn,2001-07-13T07:32:51.883,train
co-iss-n1373701628,saturn,2001-07-13T07:33:30.187,train
co-iss-n1373701676,saturn,2001-07-13T07:34:13.190,train
co-iss-n1373701732,saturn,2001-07-13T07:35:02.394,train
co-iss-n1373701772,saturn,2001-07-13T07:35:54.201,train
co-iss-n1373701812,saturn,2001-07-13T07:36:33.605,train
co-iss-n1373701860,saturn,2001-07-13T07:37:17.208,train
co-iss-n1373701916,saturn,2001-07-13T07:38:06.412,train
co-iss-n1373701988,saturn,2001-07-13T07:39:01.419,train
co-iss-n1373702392,saturn,2001-07-13T07:45:51.377,train
co-iss-n1373702464,saturn,2001-07-13T07:46:57.381,train
co-iss-n1373702536,saturn,2001-07-13T07:48:09.384,train
co-iss-n1373702728,saturn,2001-07-13T07:51:21.398,train
co-iss-n1373702776,saturn,2001-07-13T07:52:29.402,train
co-iss-n1373702809,saturn,2001-07-13T07:53:12.906,train
co-iss-n1373702843,saturn,2001-07-13T07:53:48.087,train
co-iss-n1373702915,saturn,2001-07-13T07:54:38.354,train
co-iss-n1373702987,saturn,2001-07-13T07:55:50.358,train
co-iss-n1373703059,saturn,2001-07-13T07:57:02.361,train
co-iss-n1373703107,saturn,2001-07-13T07:58:00.365,train
co-iss-n1373703155,saturn,2001-07-13T07:58:48.372,train
co-iss-n1373703203,saturn,2001-07-13T07:59:36.376,train
co-iss-n1373703236,saturn,2001-07-13T08:00:20.819,train
co-iss-n1373703270,saturn,2001-07-13T08:00:54.784,train
co-iss-n1373703303,saturn,2001-07-13T08:01:27.791,train
co-iss-n1373703343,saturn,2001-07-13T08:02:05.755,train
co-iss-n1373703383,saturn,2001-07-13T08:02:45.759,train
co-iss-n1373703423,saturn,2001-07-13T08:03:25.762,train
co-iss-n1373703479,saturn,2001-07-13T08:04:06.370,train
co-iss-n1373703535,saturn,2001-07-13T08:05:02.373,train
co-iss-n1373703591,saturn,2001-07-13T08:05:58.377,train
co-iss-n1373703663,saturn,2001-07-13T08:07:06.380,train
co-iss-n1373703735,saturn,2001-07-13T08:08:18.387,train
co-iss-n1373703807,saturn,2001-07-13T08:09:26.391,train
